CASE,A102,A103,A106,A201,A202,A203,A204,A205,A208,A301,A302_01,A303_01
48,1,3,4,5.0,5.0,4.0,5.0,4.0,2.0,4.0,,
49,1,3,4,4.0,5.0,4.0,4.0,4.0,2.0,4.0,"Die rote Umrandung bei der Auswahl der Sprache ist aufgrund der Signalwirkung etwas irritierend. Ich hätte erwartet, dass diese implizite ""Fehlermeldung"" nach der Auswahl einer beliebigen Sprache entfällt.","Bei der Auswahl der Sprache wäre es schön, ein Eingabefeld zu haben, um Probe-Eingaben zu machen. Die dargestellten Beispiele für Worte, die (nicht) in der Sprache liegen, ermöglichen das Verständnis der Sprache in einfachen Fällen. Für komplexere Fälle, wäre eine interaktive Möglichkeit zur Prüfung des eigenen Verständnisses der Sprache angenehmer, da man nichts widerlegen kann, dass man nicht zumindest grundlegend verstanden hat. "
65,1,4,5,5.0,4.0,4.0,5.0,4.0,4.0,4.0,"Nachdem man eine Sprache durch hatte, war es etwas uneindeutig zur Sprachen auswahl zurückzukommen.",
69,1,4,4,2.0,2.0,2.0,4.0,3.0,4.0,2.0,interaktive Rückmeldungen bei jeder Nutzereingabe verbessern,
70,1,4,4,4.0,4.0,4.0,4.0,3.0,1.0,4.0,,
76,1,3,5,5.0,-9.0,-9.0,-9.0,-9.0,1.0,-9.0,,
83,1,5,-9,4.0,2.0,4.0,5.0,2.0,2.0,5.0,,
84,1,4,5,4.0,4.0,4.0,5.0,5.0,1.0,5.0,"Der Dämon zerlegt das Wort in z = uvw
hätte ich die Formulierung nicht ""Der Dämon zerlegt das Wort z in uvw"" lauten sollen?",
86,1,2,2,2.0,2.0,2.0,3.0,2.0,5.0,4.0,"Es fehlt eine tatsächlich einfache Erklärung zu Pumping Lemma - ich habe vor ca. 6 Jahren das Modul theoretische Informatik mit 2 bestanden, wusste demnach mal, was das ist - selbst zum dran zurückerinnern nicht ausreichend Erklärung",
89,1,1,4,1.0,1.0,-9.0,-9.0,-9.0,5.0,1.0,ich hab keine Ahnung,
90,1,2,4,5.0,4.0,5.0,5.0,4.0,5.0,4.0,,
94,1,3,4,4.0,5.0,5.0,4.0,4.0,9.0,5.0,"Verbesserung:
Es sollten Ziffern unter den einzelnen Buchstaben angezeigt werden um besser zu erkennen, welcher Buchstabe an welcher Stelle steht.

aaabbbaaa
123456789

",
101,1,3,4,4.0,4.0,4.0,5.0,3.0,1.0,5.0,,
